ISO28178										
ORIGINATOR	"WAN-IFRA. www.wan-ifra.org"									
DESCRIPTOR	"Ifra26L"									
CREATED	"30.06.2004"									
INSTRUMENTATION	"GRETAGMACBETH SpectroScan. D50. 2 degree. geometry 45/0. no polarisation filter. white backing"
PRINT_CONDITIONS	"Newspaper Coldset-Offset printing according to ISO/DIS 12647-3:2004. standard newsprint. screen ruling 40 l/cm ± 2 l/cm"
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
NUMBER_OF_SETS	1485									
BEGIN_DATA										
213	55	55	20	0	19.73	19	19.44	50.69	7.18	-8.55
214	55	70	20	0	18.54	16.97	17.71	48.22	11.76	-9.04
215	55	85	20	0	17.78	15.7	16.56	46.58	14.85	-9.2
216	55	100	20	0	17.23	14.8	15.69	45.36	17.15	-9.21
217	70	0	20	0	23.81	30.67	29.94	62.23	-23.51	-7.79
218	70	10	20	0	22.28	27.38	27.41	59.33	-17.85	-8.65
219	70	20	20	0	20.81	24.36	25.12	56.44	-12.31	-9.66
220	70	30	20	0	19.59	21.91	23.19	53.93	-7.5	-10.44
221	70	40	20	0	18.48	19.78	21.43	51.59	-3.05	-11.07
222	70	55	20	0	17.16	17.33	19.27	48.68	2.48	-11.65
223	70	70	20	0	16.18	15.58	17.64	46.42	6.74	-11.97
224	70	85	20	0	15.55	14.48	16.55	44.91	9.62	-12.06
225	70	100	20	0	15.08	13.68	15.74	43.77	11.77	-12.08
226	85	0	20	0	20.93	27.83	29.26	59.73	-25.93	-10.99
